title,base_name,ownership_tag,owner_name,url_type,url,resolved_base_token,access_status,table_count,update_time_iso,create_time_iso,last_open_time_iso,search_sources,tables,access_error
CP135-DOE （学员&教练）,CP135-DOE （学员&教练）  ,owned by Dcode,Dcode Sdn Bhd,base,https://zsggz2p1btda.sg.larksuite.com/base/PhYnbXigRaHMHCsqXWwleXlagZd,PhYnbXigRaHMHCsqXWwleXlagZd,readable,32,2026-05-28T21:21:45+08:00,2026-03-15T07:49:46+08:00,2026-05-26T15:48:11+08:00,keyword_DOE,🔥135-事业挑战; Dcode资料库; 135个人资料; ✅135-高二工作坊DOE宣告（开班前）; ✅B5.2-【周计划表】; ✅C1-135--教练-SUMMARY DOE; ✅C2-135-教练- SUMMARY DOE Form; ✅A0-133高一-10天宣告; ✅A1-133高一学员DOE挑战宣告; ✅A1-133高一学员DOE挑战宣告 副本; ✅A2-133高一学员DOE挑战宣告 Form; 135【分数机制】; 135_Summary 分数机制; 135.3-分数计算【Buddy+战队】; 135.2-分数计算【个人】; 感召Form; 感召（个人）; ✅B1.1_135 【DOE数据】; ✅B2.2_135【DOE填or修改数据】; ✅B3.1-【海星名单or位置】; ✅B3.2 【137 进阶进度】; ✅B4.1_【每日宣告 or 每日总结】; ✅B5.1-【周计划表】; 🔅【事业_1】个人每周事业数据 (NEW); 分数标准; 01-ABC教练Grade; 01-ABC教练Grade 副本; 02-学员DOE ABC; 02.1-团队; 03-录音【copy】; ✅✅135-WHOLE-MASTERLIST【基础-高四】; 团队进阶高阶二守则后,
CP136-DOE （学员&教练）,CP136-DOE （学员&教练）  ,owned by Dcode,Dcode Sdn Bhd,base,https://zsggz2p1btda.sg.larksuite.com/base/JS92bpyyCaaDrUskBH7la2kGgQc,JS92bpyyCaaDrUskBH7la2kGgQc,readable,36,2026-05-28T21:17:54+08:00,2026-04-22T08:18:14+08:00,2026-05-26T16:19:20+08:00,keyword_DOE,136-事业挑战; Dcode资料库; 136个人资料; ✅高二工作坊DOE宣告（开班前）; 学员个人结果; ✅B5.2-【周计划表】; ✅C1-136--教练-SUMMARY DOE; ✅C2-136-教练- SUMMARY DOE Form; ✅B5.1-【周计划表】; ✅A0-133高一-10天宣告; ✅A1-133高一学员DOE挑战宣告; ✅A1-133高一学员DOE挑战宣告 副本; ✅A2-133高一学员DOE挑战宣告 Form; 【分数机制】; 135_Summary 分数机制; 135.3-分数计算【Buddy+战队】; 135.2-分数计算【个人】; 感召Form; 感召（个人）; ✅B1.1_【DOE数据】; ✅B2.2_【DOE填or修改数据】; ✅B3.1-【海星名单or位置】; ✅B3.2【137进阶进度】; call 确认当班; ✅B4.1_【每日宣告 or 每日总结】; 🔅【事业】个人每周事业数据 (NEW); 数据表; 01-ABC教练Grade; 02-学员DOE ABC _1; 02.1-团队数字_1; 03-录音【copy】; ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-WHOLE-MASTERLIST【基础-高四】1; ✅✅135-WHOLE-MASTERLIST【基础-高四】; 团队进阶高阶二守则后; 数据表 2,
CP137-DOE 【学员&教练】,CP137-DOE 【学员&教练】,owned by Dcode,Dcode Sdn Bhd,base,https://zsggz2p1btda.sg.larksuite.com/base/AlKxbd35laCJlQsAZF2lUvp3gvg,AlKxbd35laCJlQsAZF2lUvp3gvg,readable,34,2026-05-28T20:49:29+08:00,2026-05-18T07:59:31+08:00,1970-01-01T07:30:00+07:30,keyword_DOE,事业挑战; 137蓝图; Dcode资料库+137蓝图; 【137高阶二DOE宣告】_ 137; ✅137-高二工作坊DOE宣告（开班前）; ✅B5.2-【周计划表】; ✅C1---教练-SUMMARY DOE; ✅C2-教练- SUMMARY DOE Form; 学员名单表; ✅A0-高一-10天宣告; ✅A1-高一学员DOE挑战宣告; ✅A2-高一学员DOE结果; 135【分数机制】; 135_Summary 分数机制; 135.3-分数计算【Buddy+战队】; 135.2-分数计算【个人】; 感召Form; 感召（个人）; ✅B1.1_【DOE数据】; ✅B2.2_【DOE填or修改数据】; ✅B3.1-【基础海星名单or位置】; ✅B4.1_【每日宣告 or 每日总结】; ✅B5.1-【周计划表】; 🔅【事业_1】个人每周事业数据 (NEW); 分数标准; ✅教练名单（中心）; 01-ABC教练Grade; 02-学员DOE ABC; 02.1-团队; 03-录音【copy】; ✅✅137-WHOLE-MASTERLIST【基础-高四】; 团队进阶高阶二守则后; ✅A0-高一-10天宣告1; 数据表,
客服 Backlog,客服 Backlog,owned by AGA Tech Support,AGA TECH SUPPORT,base,https://zsggz2p1btda.sg.larksuite.com/base/V6SSbZXH2alyQhs5Rv4lD006gKf,V6SSbZXH2alyQhs5Rv4lD006gKf,readable,5,2026-05-28T18:38:36+08:00,2026-03-23T23:55:13+08:00,2026-05-26T15:44:57+08:00,"keyword_Backlog, owned_by_me",KLCP136 客服Summary - 136 Bible; KLCP137 客服Summary - 136 Bible; ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136学员-NEWBIBLE_（Dcode); ✅.Dcode海星_基础Whole Bible,
D.136 Class Bible. (admin dcode),D.136 Class Bible. (admin dcode)    ,owned by Dcode,Dcode Sdn Bhd,base,https://zsggz2p1btda.sg.larksuite.com/base/GGPiba6WEaG1hCsrpJIlJO3bgDb,GGPiba6WEaG1hCsrpJIlJO3bgDb,readable,26,2026-05-28T17:44:34+08:00,2026-03-22T22:30:45+08:00,2026-05-26T15:44:53+08:00,"keyword_Class_Bible, keyword_Dcode",✅✅136学员-NEWBIBLE_（Dcode); 总结合; Grade ABC【EMO】; Grade ABC【教练填】; ✅教练名单（中心）; ✅✅136教练-NEWBIBLE_（Dcode); ✅课程报名; ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; ✅A0-136_高一-10天宣告; ✅A0-136高一-10天宣告; 高阶二2Call; 【高二】事业成就表; ✅高二工作坊DOE宣告（开班前）; ✅135-高二工作坊DOE宣告（开班前）; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible; 🔥-学员海星个人结果,
D.137 Class Bible. (admin dcode),D.137 Class Bible. (admin dcode) ,owned by Dcode,Dcode Sdn Bhd,base,https://zsggz2p1btda.sg.larksuite.com/base/EuSDbyrP9aI05asV0gPlwYOHgpf,EuSDbyrP9aI05asV0gPlwYOHgpf,readable,28,2026-05-28T16:02:09+08:00,2026-05-02T16:44:48+08:00,1970-01-01T07:30:00+07:30,"keyword_Class_Bible, keyword_Dcode",✅✅137学员-NEWBIBLE_（Dcode); 总结合; Grade ABC【EMO】; Grade ABC【教练填】; ✅教练名单（中心）; ✅✅137教练-NEWBIBLE_（Dcode); ✅课程报名; ✅✅137-WHOLE-MASTERLIST【基础-高四】; 高阶二报到; ✅✅137-旧Backlog【基础-高四】; ✅✅137-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅137-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️137-基础FINAL MASTERLIST; 🖊️🖊️137-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️137-【基础Backlog】FINAL MASTERLIST.; 🖊️137-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️137-高阶一-FINAL MASTERLIST; 🖊️137-高阶一-【守则后离开】Final Masterlist.; ✅A0-高一-10天宣告; 🖊️-137-高阶二-【高阶二Backlog】Bible; 【高二】事业成就表; 【高二】事业成就表 137; ✅高二工作坊DOE宣告（开班前）; 【137高阶二DOE宣告】_ 137; ✅135-高二工作坊DOE宣告（开班前）; 🔥-学员海星个人结果; 🖊️-135-高阶二-Final Masterlist.; 数据表,
135 Class Bible. (admin dcode),135 Class Bible. (admin dcode)   ,owned by Dcode,Dcode Sdn Bhd,base,https://zsggz2p1btda.sg.larksuite.com/base/Zd8abS0C3agSNnsNHpKlNoXOg7d,Zd8abS0C3agSNnsNHpKlNoXOg7d,readable,33,2026-05-28T12:53:02+08:00,2026-01-28T16:24:37+08:00,2026-05-26T15:45:22+08:00,"keyword_Class_Bible, keyword_Dcode",✅✅135学员-NEWBIBLE_（Dcode); 总结合; Grade ABC【EMO】; Grade ABC【教练填】; ✅教练名单（中心）; ✅✅135教练-NEWBIBLE_（Dcode); ✅课程报名; ✅✅135-WHOLE-MASTERLIST【基础-高四】; 数据表; ✅✅135-【神奇宝宝】-WHOLE-MASTERLIST【基础-高四】; 💰💰💰135-Acc-WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST【Backlog进现行，一，二】高阶一bible; 🖊️🖊️135-基础FINAL MASTERLIST; 🖊️🖊️135-【基础守则离开】FINAL MASTERLIST; 🖊️🖊️135-【基础Backlog】FINAL MASTERLIST; 🖊️-135-高阶一-【高阶一Backlog】Final Masterlist; 🖊️-135-高阶一-FINAL MASTERLIST ; 🖊️-135-高阶一-【守则后离开】Final Masterlist; ✅A0-135高一-10天宣告; 📞海星名单-学员 (KLCP128); 📞海星名单-教练 (KLCP128)1; 💲海星名单-教练 (KLCP128); 💲海星名单-学员 (KLCP128); ✅基础BackLog; ✅高阶下车; ✅高阶Backlog; 高阶二2Call; 【高二】事业成就表; ✅135-高二工作坊DOE宣告（开班前）; 🖊️-135-高阶二-Final Masterlist; 🖊️-135-高阶二-【高阶二Backlog】Bible; 🔥-学员海星个人结果; ✅A0-135高一-10天宣告1,
旧的版本CP137-DOE （学员&教练）,旧的版本CP137-DOE （学员&教练）   ,owned by Dcode,Dcode Sdn Bhd,base,https://zsggz2p1btda.sg.larksuite.com/base/NZ83bt1qma8tLLsdUPhlVtcSg3b,NZ83bt1qma8tLLsdUPhlVtcSg3b,readable,21,2026-05-28T12:17:08+08:00,2025-12-16T15:03:02+08:00,2026-05-26T15:49:23+08:00,keyword_DOE,✅137-高二工作坊DOE宣告（开班前）; 🔥137-事业挑战; 137蓝图; ✅C1-137-教练-SUMMARY DOE; ✅C2-137-教练- SUMMARY DOE Form; ✅A0-137高一-10天宣告; ✅A1-137高一学员DOE挑战宣告; ✅A2-137高一学员DOE挑战宣告 Form; 🔅137_【事业】每周检测; ✅B1.1_137个人Summary DOE数据表（中心）; ✅B2.0_137每日DOE_事业&家庭&社服Form（修改数据）; ✅B3.1(中）海星报读名单-学员 (132 bible)——; ✅B3.1(后）海星进课室（132Bible); ✅B4.1.2_每日宣告（早上）; 🔅137个人每周家庭数据 (NEW); ✅教练名单（中心）; 🔥137_教练DOE（遴选宣告）; 🔥137_1教练 Result Summary Table; ✔137_2-教练每日结果 - 汇报FORM; ⭐137_4_1教练书面总结&宣告 - FORM; 🔅137_【事业】教练遴选_每周检测,
CP133-DOE （学员&教练）,CP133-DOE （学员&教练） ,owned by Dcode,Dcode Sdn Bhd,base,https://zsggz2p1btda.sg.larksuite.com/base/RZ1tbEuUIaEffPsTx9plXZerg3g,RZ1tbEuUIaEffPsTx9plXZerg3g,readable,24,2026-05-25T12:10:03+08:00,2025-12-16T14:50:29+08:00,2026-04-27T20:25:05+08:00,keyword_DOE,🔥133-事业挑战; Dcode资料库; 133个人资料; ✅C1-133--教练-SUMMARY DOE; ✅C2-133-教练- SUMMARY DOE Form; ✅133-高二工作坊DOE宣告（开班前）; B006.0_129每周计划 （每周）; ✅A0-133高一-10天宣告; ✅A1-133高一学员DOE挑战宣告; ✅A1-133高一学员DOE挑战宣告 副本; ✅A2-133高一学员DOE挑战宣告 Form; 感召金Form; 感召金（个人）; ✅B1.1_133个人Summary DOE数据表（中心）; ✅B2.2_133每日DOE_事业&家庭&社服Form（修改数据）; ✅✅B4.2_每日宣告&总结（早上晚上）; ✅B3.1(中）海星报读名单-学员 (133 bible)——; 🔅133个人每周事业数据 (NEW); 🔅133个人每周家庭数据 (NEW); 133周计划; ✅B4.1_每日宣告&总结（早上晚上）; 学员Grade ABC; 团队; 团队进阶高阶二守则后,
131-DOE （学员）,131-DOE （学员） ,owned by Dcode,Dcode Sdn Bhd,base,https://zsggz2p1btda.sg.larksuite.com/base/MnxpbEYoeaR6SwswtDflTptSgTg,MnxpbEYoeaR6SwswtDflTptSgTg,readable,17,2026-05-18T20:21:06+08:00,2025-10-11T07:31:06+08:00,2025-12-08T14:04:58+08:00,keyword_DOE,感召金_; 个人每日宣告总结Summary (NEW); ✅B4.0_每日宣告（早上）; ✅B5.0_每日总结（晚上）; 131资料库; ✅B1.1_131个人Summary DOE数据表（中心）; 欣赏131特质; ✅B2.0_131每日DOE_事业&家庭&社服Form（修改数据）; ✅B3.1(中）海星报读名单-学员 (131 bible); ✅B3.1(后）海星进课室（131Bible); ✅131高二工作坊DOE宣告（开班前）; 131学员的个人资料; 131个人每周事业数据 (NEW); 131个人每周家庭数据 (NEW); 131感召金个人; B006.0_129每周计划 （每周）; MYCP5 MASTERLIST,
团队进阶,团队进阶,owned by Dcode,Dcode Sdn Bhd,base,https://zsggz2p1btda.sg.larksuite.com/base/BWThbrBVTafa26sM2WelD3Flggc,BWThbrBVTafa26sM2WelD3Flggc,readable,1,2026-05-12T12:29:31+08:00,2026-04-21T18:05:06+08:00,1970-01-01T07:30:00+07:30,"keyword_Call_Center, keyword_Dcode, keyword_Finance, keyword_Operation",团队进阶高阶二守则后,
133 Class Bible (admin dcode),133 Class Bible (admin dcode),owned by Dcode,Dcode Sdn Bhd,base,https://zsggz2p1btda.sg.larksuite.com/base/HgQgbfusTawotLsd80el5GSUguc,HgQgbfusTawotLsd80el5GSUguc,readable,19,2026-05-12T11:14:59+08:00,2025-10-29T08:34:48+08:00,2026-04-27T20:25:04+08:00,"keyword_Class_Bible, keyword_Dcode",✅教练名单（中心）; ✅✅133教练-NEWBIBLE; ✅课程报名; ✅✅133学员-NEWBIBLE; 数据表; ✅✅133; ✅✅133学员-MYCP Bible 报读; ✅✅133-WHOLE-MASTERLIST; ✅133-基础-FINAL MASTERLIST; ✅133-高一FINAL MASTERLIST; 📞海星名单-学员 (KLCP128); 📞海星名单-教练 (KLCP128)1; 💲海星名单-教练 (KLCP128); 💲海星名单-学员 (KLCP128); ✅基础BackLog; ✅高阶下车; ✅高阶Backlog; ✅133-高二FINAL MASTERLIST; ✅133Emo报名,
133-DOE （教练）,133-DOE （教练）,owned by AGA Tech Support,AGA TECH SUPPORT,wiki,https://zsggz2p1btda.sg.larksuite.com/wiki/LaqawSCuyifWP5k8RqxltbOKgmd,FktOb9NnfaqZI7sOOdxlBTaTg1b,readable,19,2026-05-06T13:46:57+08:00,2025-08-03T19:00:29+08:00,2025-08-20T15:56:24+08:00,"keyword_DOE, owned_by_me",✅130教练名单; ✅130学员名单; 🔥133_01教练DOE挑战Summary （遴选）; 🔥133_02教练Form宣告; ⭐133_教练12-4月事业家庭宣告; ⭐133_002教练Form宣告; ✅130教练-EMOFORM; ✅130教练-NEWBIBLE; ✅130-教练-SUMMARY DOE; ✅130-教练- SUMMARY DOE Form; ✅130高一学员DOE挑战宣告; ✅130高一学员DOE挑战宣告 Form; ✅130高二工作坊DOE宣告（开班前）; ✅130-学员-SUMMARY DOE; ✅130-学员- SUMMARY DOE Form; ✅130-学员-EMO报名FORM; ✅130-学员-NEWBIBLE（学员海星名单-中心）; 高二挑战（NEW）; 129TZ事业,
Dcode Backlog,Dcode Backlog,owned by Dcode,Dcode Sdn Bhd,base,https://zsggz2p1btda.sg.larksuite.com/base/C87nb9eQtaa2M7smtG8lpYRogRh,C87nb9eQtaa2M7smtG8lpYRogRh,readable,18,2026-04-22T20:45:23+08:00,2026-02-20T08:29:59+08:00,2026-04-02T12:09:22+08:00,"keyword_Backlog, keyword_Dcode",test; H.Dcode海星_基础Whole Bible 副本; ✅.Dcode海星_基础Whole Bible; ✅.Dcode海星_基础-已进课室; ✅.Dcode海星_基础-已消耗; ✅课程报名; ✅Dcode高阶一 Backlog-Whole Bible.; ✅Dcode高阶一 已进课室; ✅Dcode高阶一 已消耗+转款.; ✅Dcode高阶一 健康不通过.; ✅Dcode高阶一 离开名单; ✅Dcode【基础【JCP-Bible】; ✅Dcode【基础JCP-已经课室】; ✅Dcode【基础JCP-已消耗】; ✅.Dcode高阶二 Backlog-Whole Bible; ✅.Dcode高阶二-下车名单; ✅.Dcode高阶二-已消耗; ✅.Dcode高阶二-已经课室,
不用旧版本-KLCP136-DOE （学员&教练）,不用旧版本-KLCP136-DOE （学员&教练） ,owned by Dcode,Dcode Sdn Bhd,base,https://zsggz2p1btda.sg.larksuite.com/base/BqefbwbPPa5OsPs6zZglCtm4g9b,BqefbwbPPa5OsPs6zZglCtm4g9b,readable,21,2026-04-18T22:07:47+08:00,2026-01-10T13:10:05+08:00,1970-01-01T07:30:00+07:30,keyword_DOE,✅136_-高二工作坊DOE宣告（开班前）; 🔥136_-事业挑战; Dcode 资料库; ✅C1-136_-教练-SUMMARY DOE; ✅C2-136_-教练- SUMMARY DOE Form; B006.0_129每周计划 （每周）; ✅A0-136_高一-10天宣告; ✅A1-136_高一学员DOE挑战宣告; ✅A2-136_高一学员DOE挑战宣告 Form; 🔅136个人每周事业数据 (NEW); ✅B1.1_137个人Summary DOE数据表（中心）; ✅B2.0_137每日DOE_事业&家庭&社服Form（修改数据）; ✅B3.1(中）海星报读名单-学员 (132 bible)——; ✅B3.1(后）海星进课室（132Bible); ✅B4.1.2_每日宣告（早上）; 🔅136个人每周家庭数据 (NEW); MYCP Bible; 🔥136_01教练DOE挑战Summary （遴选）; ⭐⭐136_002教练Form【填结果】; ✔136_4-每日宣告&总结（早上晚上）; ⭐136_002教练Form【填结果】,
Call Center （Dcode),Call Center （Dcode),owned by Dcode,Dcode Sdn Bhd,base,https://zsggz2p1btda.sg.larksuite.com/base/UzEcb657ZaUnumsm5g1lurAWgkb,UzEcb657ZaUnumsm5g1lurAWgkb,readable,13,2026-04-16T17:08:39+08:00,2025-10-29T08:37:39+08:00,1970-01-01T07:30:00+07:30,"keyword_Call_Center, keyword_Dcode",✅EMO FORM - 学员; ✅EMO FORM - 教练; ✅基础问卷; ✅高阶问卷; 海星名单-学员(KLCP120); 海星名单-教练(KLCP120); ✅128-教练-NEWBIBLE; ✅128-学员-NEWBIBLE; ✅129-教练-NEWBIBLE; ✅129-学员-NEWBIBLE; 海星名单-教练 (KLCP127); 海星名单-学员 (KLCP127); 数据表,
CP132-DOE （教练）,CP132-DOE （教练） ,owned by Dcode,Dcode Sdn Bhd,base,https://zsggz2p1btda.sg.larksuite.com/base/YXe1bLk9CalgCfsQOXOlLisHgod,YXe1bLk9CalgCfsQOXOlLisHgod,readable,18,2026-04-16T14:49:32+08:00,2025-11-18T13:18:25+08:00,1970-01-01T07:30:00+07:30,keyword_DOE,✅131教练名单; ✅B1-132--教练-SUMMARY DOE; ✅B2-132-教练- SUMMARY DOE Form; 🔥指引部门录音; 🔥01-教练Grade（Main); 🔥团队毕业证等级; ✅132教练-EMOFORM; ✅132教练-NEWBIBLE; ✅132高一学员DOE挑战宣告; ✅132高一学员DOE挑战宣告 Form; 🔥现行教练学员录音; 132学员资料; ✅132高二工作坊DOE宣告（开班前）; ✅B.1-132-学员-SUMMARY DOE; ✅132-学员- SUMMARY DOE Form; ✅132学员-EMO报名FORM; ✅132-学员-NEWBIBLE（学员海星名单-中心）; 132TZ事业,
CP132-DOE （学员）,CP132-DOE （学员）  ,owned by Dcode,Dcode Sdn Bhd,base,https://zsggz2p1btda.sg.larksuite.com/base/VXp9bWOoIa9OmbsmMprlRUkJgZf,VXp9bWOoIa9OmbsmMprlRUkJgZf,readable,16,2026-04-15T18:27:41+08:00,2025-11-24T09:24:17+08:00,1970-01-01T07:30:00+07:30,keyword_DOE,学员挑战海星个人完成; 132事业挑战; ✅B4.0_每日宣告（早上）; ✅B5.0_每日总结（晚上）; 132个人每周家庭数据 (NEW); ✅C1-132--教练-SUMMARY DOE; ✅C2-132-教练- SUMMARY DOE Form; B006.0_129每周计划 （每周）; 132个人每周事业数据 (NEW); ✅B1.1_132个人Summary DOE数据表（中心）; ✅B2.0_132每日DOE_事业&家庭&社服Form（修改数据）; ✅B3.1(中）海星报读名单-学员 (132 bible)——; ✅B3.1(后）海星进课室（132Bible); ✅132高二工作坊DOE宣告（开班前）; MYCP5 MASTERLIST; ✅B4.1.2_每日宣告（早上）,
Dcode Class Bible (NEW),Dcode Class Bible (NEW),owned by AGA Tech Support,AGA TECH SUPPORT,base,https://zsggz2p1btda.sg.larksuite.com/base/RXedblJx8a3dkssOyRhlX0xZgEM,RXedblJx8a3dkssOyRhlX0xZgEM,readable,3,2026-04-13T15:05:54+08:00,2026-04-12T19:28:42+08:00,2026-05-26T15:52:08+08:00,"keyword_Class_Bible, keyword_Dcode, owned_by_me",✅✅学员-NEWBIBLE_（Dcode); ✅✅教练-NEWBIBLE_（Dcode); ✅✅WHOLE-MASTERLIST【基础-高四】,
Dcode Sdn Bhd,Dcode Sdn Bhd,owned by AGA Tech Support,AGA TECH SUPPORT,app,https://zsggz2p1btda.sg.larksuite.com/app/HyxAbrOGna0O83sAosOlwfbfgDM,HyxAbrOGna0O83sAosOlwfbfgDM,readable,0,2026-04-13T02:48:36+08:00,2025-12-07T14:02:01+08:00,2026-05-26T15:45:18+08:00,"keyword_Dcode, owned_by_me",,
132 Class Bible (admin dcode),132 Class Bible (admin dcode) ,owned by Dcode,Dcode Sdn Bhd,base,https://zsggz2p1btda.sg.larksuite.com/base/BhzEbw2BvaQBsmsfGIxlu75Xgag,BhzEbw2BvaQBsmsfGIxlu75Xgag,readable,20,2026-04-08T19:31:41+08:00,2025-10-21T21:16:49+08:00,1970-01-01T07:30:00+07:30,"keyword_Class_Bible, keyword_Dcode",✅教练名单（中心）; ✅✅132教练-NEWBIBLE; ✅课程报名; Happy-132学员-NEWBIBLE; ✅✅132学员-NEWBIBLE; ✅✅132学员-MYCP Bible 报读; ✅✅132-WHOLE-MASTERLIST; ✅✅132高阶二-WHOLE-MASTERLIST; 指引部门汇报Log; ✅131-基础-FINAL MASTERLIST; ✅131-高一FINAL MASTERLIST; 📞海星名单-学员 (KLCP128); 📞海星名单-教练 (KLCP128)1; 💲海星名单-教练 (KLCP128); 💲海星名单-学员 (KLCP128); ✅基础BackLog; ✅高阶下车; ✅高阶Backlog; ✅131-高二FINAL MASTERLIST; ✅131Emo报名,
Call Center （Dcode) 副本,Call Center （Dcode) 副本,owned by Dcode,Dcode Sdn Bhd,base,https://zsggz2p1btda.sg.larksuite.com/base/FpTubI6WnaTI7MsysOQl5pWRg9c,FpTubI6WnaTI7MsysOQl5pWRg9c,readable,13,2026-04-03T17:33:58+08:00,2026-04-02T09:36:36+08:00,1970-01-01T07:30:00+07:30,"keyword_Call_Center, keyword_Dcode",✅EMO FORM - 学员; ✅EMO FORM - 教练; ✅基础问卷; ✅高阶问卷; 海星名单-学员(KLCP120); 海星名单-教练(KLCP120); ✅128-教练-NEWBIBLE; ✅128-学员-NEWBIBLE; ✅129-教练-NEWBIBLE; ✅129-学员-NEWBIBLE; 海星名单-教练 (KLCP127); 海星名单-学员 (KLCP127); 数据表,
Dcode Sdn Bhd Portal,Dcode Sdn Bhd Portal,owned by AGA Tech Support,AGA TECH SUPPORT,base,https://zsggz2p1btda.sg.larksuite.com/base/KZfGbYq0QaQ4sJsKiCLl4i3igWb,KZfGbYq0QaQ4sJsKiCLl4i3igWb,readable,11,2026-03-24T00:24:11+08:00,2025-06-05T18:39:38+08:00,2026-05-28T18:50:05+08:00,"keyword_Dcode, keyword_Portal, owned_by_me",System List; Table List; Milestones List; Enquiry List; Clarification List; Meeting List; Module List; Flow List; Automation List; Dashboard List; AI List,
138 Class Bible (admin dcode),138 Class Bible (admin dcode),owned by Dcode,Dcode Sdn Bhd,base,https://zsggz2p1btda.sg.larksuite.com/base/FnDObKXysaVFqssVRxTlXXmfgAh,FnDObKXysaVFqssVRxTlXXmfgAh,readable,17,2026-03-20T00:13:16+08:00,2026-02-08T09:22:41+08:00,1970-01-01T07:30:00+07:30,"keyword_Class_Bible, keyword_Dcode",✅教练名单（中心）; ✅✅138教练-NEWBIBLE; ✅课程报名; ✅✅138学员-NEWBIBLE; ✅✅138学员-MYCP Bible 报读; ✅✅138-WHOLE-MASTERLIST; ✅✅138-高阶二-WHOLE-MASTERLIST; ✅131-基础-FINAL MASTERLIST; ✅131-高一FINAL MASTERLIST; 📞海星名单-学员 (KLCP128); 📞海星名单-教练 (KLCP128)1; 💲海星名单-教练 (KLCP128); 💲海星名单-学员 (KLCP128); ✅基础BackLog; ✅高阶下车; ✅高阶Backlog; ✅131-高二FINAL MASTERLIST,
